Obj1,Obj2,Figure1,Figure2,Acc,Acc_exp_transform,RT,Skel,Skel_log_transformed,GBJ,GIST,HMAX,conv1,conv2,conv3,conv4,conv5,fc6,fc7,fc8
118,90,Figure_118,Figure_90,0.823529412,2.278527525,2698.323529,78.26,4.36,163.58,0.0704,0.21,25796.97,18641.66,10520.94,5450.96,2703.23,483.82,175.05,45.16
23,100,Figure_23,Figure_100,0.96875,2.634649089,1890.4375,113.33,4.73,207.65,0.1137,0.34,30040.62,21997.62,12869.61,6703.79,3315.38,513.34,167.86,45.6
23,103,Figure_23,Figure_103,0.833333333,2.30097589,2670.055556,111.75,4.72,187.07,0.0795,0.18,29765.89,20926.42,11074.08,5741.65,2797.7,489.67,165.09,41.86
23,106,Figure_23,Figure_106,0.638888889,1.894374849,2158.916667,76.29,4.33,182.48,0.075,0.12,29491.15,20772.32,11543.37,6118.67,3067.81,463.23,148.43,40.31
23,107,Figure_23,Figure_107,0.75,2.117000017,3191.875,88.07,4.48,184.44,0.0734,0.13,29710.81,20243.84,10747.18,5689.89,2740.99,429.71,140.45,38.45
23,108,Figure_23,Figure_108,0.861111111,2.365787887,2095.611111,126.6,4.84,236.04,0.1561,0.5,30289.55,23208.86,13696.9,7044.64,3480.14,610.81,206.19,52.5
23,116,Figure_23,Figure_116,0.942857143,2.56730611,1934.971429,125.23,4.83,228.98,0.1272,0.9,29260.95,22957.86,14185.68,7319.28,3741.09,561.63,181.19,46.21
23,39,Figure_23,Figure_39,0.888888889,2.432425455,1458.694444,128.14,4.85,185.79,0.0791,0.2,30185.68,21170.99,11167.42,5849.73,2855.3,459.16,146.64,37.55
23,43,Figure_23,Figure_43,0.735294118,2.086095461,1977.176471,143.48,4.97,219.68,0.1234,0.45,30516.07,23097.79,13623.76,7038,3529.1,554.25,190.36,44.83
23,44,Figure_23,Figure_44,0.914285714,2.494992477,2182.771429,143.88,4.97,217.23,0.1453,0.56,29407.58,22291.66,13201.07,6820.53,3439.33,547.01,177.54,44.33
23,48,Figure_23,Figure_48,0.875,2.398875294,2535.375,138.29,4.93,201.34,0.1125,0.34,30664.95,22937.73,13091.53,6810.76,3262.38,560.83,216.77,49.52
23,76,Figure_23,Figure_76,0.882352941,2.41657909,2021.205882,115.57,4.75,234.26,0.1485,0.51,32592.39,25267.73,14723.05,7470.43,3624.73,584.81,180.59,47.93
23,83,Figure_23,Figure_83,0.885714286,2.424715714,1966.514286,131.13,4.88,210.86,0.1296,0.39,29657.19,22843.56,13550.02,7077.81,3544.05,570.92,189.07,46.14
234,100,Figure_234,Figure_100,0.891891892,2.439741014,2349.027027,89.02,4.49,218.73,0.0911,0.38,30144.07,23638.83,13592.82,7002.77,3417.18,522.25,178.11,44.28
234,103,Figure_234,Figure_103,0.878787879,2.407979175,2516.121212,87.28,4.47,239.27,0.1145,0.43,30139.8,24369.6,14959.11,7615.25,3733.53,564.6,174.87,43.18
234,106,Figure_234,Figure_106,0.885714286,2.424715714,2495.171429,78.62,4.36,225.44,0.1123,0.56,30145.85,23978.27,13981.72,7242.22,3629.21,607.59,197.06,48.62
234,107,Figure_234,Figure_107,0.852941176,2.346538295,1939.117647,83.18,4.42,248.33,0.1271,0.7,30725.86,25137.49,15148.79,7618.17,3716.1,572,184.42,43.64
